NCIT ID	Target NS	Target ID
C1003	CHEBI	CHEBI:22565
C1005	CHEBI	CHEBI:30621
C1009	CHEBI	CHEBI:30969
C1011	CHEBI	CHEBI:3000
C1012	CHEBI	CHEBI:22720
C1014	CHEBI	CHEBI:32293
C101537	CHEBI	CHEBI:9230
C1016	CHEBI	CHEBI:17579
C101788	CHEBI	CHEBI:16412
C101790	CHEBI	CHEBI:62268
C1020	CHEBI	CHEBI:261649
C1027	CHEBI	CHEBI:3207
C1028	CHEBI	CHEBI:3237
C1039	CHEBI	CHEBI:202940
C104002	CHEBI	CHEBI:17625
C1041	CHEBI	CHEBI:31368
C1042	CHEBI	CHEBI:3561
C104267	CHEBI	CHEBI:63453
C1051	CHEBI	CHEBI:31401
C1054	CHEBI	CHEBI:3732
C1057	CHEBI	CHEBI:29014
C105826	CHEBI	CHEBI:44605
C105827	CHEBI	CHEBI:39251
C1059	CHEBI	CHEBI:50743
C1060	CHEBI	CHEBI:28197
C106406	CHEBI	CHEBI:15746
C1069	CHEBI	CHEBI:35861
C1071	CHEBI	CHEBI:60773
C107138	CHEBI	CHEBI:28750
C1072	CHEBI	CHEBI:18853
C107439	CHEBI	CHEBI:15372
C107440	CHEBI	CHEBI:47828
C107560	CHEBI	CHEBI:28728
C1076	CHEBI	CHEBI:34838
C1077	CHEBI	CHEBI:31523
C1088	CHEBI	CHEBI:4806
C1091	CHEBI	CHEBI:17474
C1097	CHEBI	CHEBI:4953
C1098	CHEBI	CHEBI:42588
C1099	CHEBI	CHEBI:5062
C1100	CHEBI	CHEBI:472657
C1102	CHEBI	CHEBI:63599
C1105	CHEBI	CHEBI:4532
C1107	CHEBI	CHEBI:38221
C1112	CHEBI	CHEBI:5292
C1113	CHEBI	CHEBI:28088
C1115	CHEBI	CHEBI:16015
C1116	CHEBI	CHEBI:24410
C1117	CHEBI	CHEBI:15939
C112040	CHEBI	CHEBI:38697
C112043	CHEBI	CHEBI:15551
C112046	CHEBI	CHEBI:24128
C112047	CHEBI	CHEBI:24279
C1121	CHEBI	CHEBI:48028
C1128	CHEBI	CHEBI:6402
C1130	CHEBI	CHEBI:29191
C113236	CHEBI	CHEBI:16675
C113498	CHEBI	CHEBI:18406
C1135	CHEBI	CHEBI:24814
C113501	CHEBI	CHEBI:15611
C1137	CHEBI	CHEBI:63578
C1138	CHEBI	CHEBI:6076
C1145	CHEBI	CHEBI:25036
C1146	CHEBI	CHEBI:50138
C1155	CHEBI	CHEBI:6716
C1156	CHEBI	CHEBI:6723
C1160	CHEBI	CHEBI:6770
C116012	CHEBI	CHEBI:15361
C116013	CHEBI	CHEBI:15555
C1163	CHEBI	CHEBI:7438
C1173	CHEBI	CHEBI:7573
C1176	CHEBI	CHEBI:7770
C1178	CHEBI	CHEBI:28229
C1181	CHEBI	CHEBI:31941
C118875	CHEBI	CHEBI:17755
C118876	CHEBI	CHEBI:27389
C118877	CHEBI	CHEBI:18323
C118880	CHEBI	CHEBI:15727
C118881	CHEBI	CHEBI:37024
C118882	CHEBI	CHEBI:17553
C118883	CHEBI	CHEBI:37712
C118884	CHEBI	CHEBI:43433
C118885	CHEBI	CHEBI:70959
C118886	CHEBI	CHEBI:70958
